dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135,label
1.807303984,1.786364823,1.419628884,1.767882307,0.969796454,0.970336032,0.977571514,0.970243831,0.904019797,0.904083949,0.908094533,0.904562916,197.692657,194.8650835,146.4672091,195.4707594,0.779226923,0.778368551,0.781377648,0.778506655,0.882738309,0.882251977,0.883955682,0.882330241,Red Spinach Leaf
2.272746173,2.217569154,2.014165508,2.349862996,0.972467602,0.973409331,0.975513828,0.97060317,0.866984586,0.868388124,0.871627036,0.866335762,245.2030783,237.6176866,217.6087119,262.6939066,0.702066703,0.700958121,0.70356676,0.700574377,0.837894207,0.837232418,0.838788865,0.837003212,Red Spinach Leaf
1.921470153,1.944519833,1.61973451,1.912871868,0.971566258,0.970592878,0.976247015,0.971084837,0.896022094,0.896156666,0.900378482,0.896420344,187.0821357,194.1836378,155.9304166,190.9350926,0.770882815,0.769651633,0.772530894,0.770005726,0.877999325,0.877297916,0.878937366,0.877499702,Red Spinach Leaf
2.343447075,2.430982516,1.782709137,2.154390658,0.968739135,0.967248085,0.979334868,0.972037619,0.885576202,0.885241902,0.890196312,0.887574226,273.754314,287.8267876,180.5633738,245.7359277,0.749828195,0.748295472,0.752491705,0.749611288,0.865926206,0.865040734,0.867462797,0.865800952,Red Spinach Leaf
1.595428675,1.621189979,1.290039755,1.476944154,0.962393684,0.960764414,0.970317248,0.966087288,0.926432334,0.926332734,0.929322696,0.927217969,168.6474246,176.6198591,132.7969297,152.658827,0.835286117,0.834413195,0.837243907,0.835265668,0.913939887,0.913462202,0.915010332,0.9139287,Red Spinach Leaf
1.724278178,1.739646399,1.390766499,1.63460334,0.961566089,0.960024769,0.969730634,0.964359,0.927507795,0.927770014,0.93052746,0.928023621,225.0483835,234.9573069,176.8202451,209.4825548,0.832394111,0.831594165,0.834368258,0.832195039,0.912356351,0.91191785,0.913437605,0.912247247,Red Spinach Leaf
1.810857871,1.829651618,1.653806899,1.885007829,0.970069214,0.969279948,0.972122048,0.967774654,0.910125367,0.910423397,0.912780592,0.909846835,206.8774526,213.1134395,192.2428225,223.5560804,0.797002855,0.796063269,0.797966503,0.795818704,0.892750164,0.892223777,0.893289708,0.892086713,Red Spinach Leaf
1.888932924,1.816009916,1.581307491,1.846894572,0.965515813,0.967452258,0.97207422,0.966479262,0.913230299,0.913332191,0.915505261,0.912940226,230.4827763,218.3441349,186.2141999,224.8714053,0.803050844,0.802489405,0.804676381,0.802547253,0.896131042,0.89581773,0.897037558,0.895850017,Red Spinach Leaf
1.425017542,1.462376044,1.115044535,1.285399269,0.959765756,0.958296663,0.969796194,0.96452044,0.940576962,0.940256442,0.943484057,0.941434011,168.3793563,175.2000979,126.0958278,149.0533599,0.863735185,0.863020992,0.865609047,0.863990945,0.929373545,0.928989232,0.93038113,0.929511132,Red Spinach Leaf
2.260213363,2.223101514,1.768310345,2.126037317,0.967290102,0.968488703,0.976687227,0.969434036,0.893492518,0.893620646,0.897104839,0.894544384,276.5531524,267.3726514,196.6592275,259.3515201,0.762341105,0.761490736,0.764891523,0.762020604,0.873121472,0.872634366,0.87458077,0.872937915,Red Spinach Leaf
